
data;

param n := 15;

param : E : c :=
0 1 100.40
0 2 58.01
0 3 92.85
0 4 57.31
0 5 45.49
0 6 55.61
0 7 95.27
0 8 81.61
0 9 101.21
0 10 67.78
0 11 90.96
0 12 62.27
0 13 8.94
0 14 78.24
1 0 100.40
1 2 50.64
1 3 15.23
1 4 43.42
1 5 92.28
1 6 97.58
1 7 21.59
1 8 31.58
1 9 8.06
1 10 36.62
1 11 32.25
1 12 91.08
1 13 96.21
1 14 35.51
2 0 58.01
2 1 50.64
2 3 38.63
2 4 24.84
2 5 72.11
2 6 81.61
2 7 56.52
2 8 49.65
2 9 48.38
2 10 36.40
2 11 59.09
2 12 80.52
2 13 57.25
2 14 20.52
3 0 92.85
3 1 15.23
3 2 38.63
3 4 38.59
3 5 91.76
3 6 98.49
3 7 33.02
3 8 37.85
3 9 10.05
3 10 36.67
3 11 42.05
3 12 93.38
3 13 89.83
3 14 21.00
4 0 57.31
4 1 43.42
4 2 24.84
4 3 38.59
4 5 54.34
4 6 62.29
4 7 39.46
4 8 28.28
4 9 45.34
4 10 13.34
4 11 38.33
4 12 59.14
4 13 52.80
4 14 33.02
5 0 45.49
5 1 92.28
5 2 72.11
5 3 91.76
5 4 54.34
5 6 10.82
5 7 77.99
5 8 63.25
5 9 96.61
5 10 55.90
5 11 69.31
5 12 17.09
5 13 36.62
5 14 86.70
6 0 55.61
6 1 97.58
6 2 81.61
6 3 98.49
6 4 62.29
6 5 10.82
6 7 81.54
6 8 67.23
6 9 102.53
6 10 61.98
6 11 72.01
6 12 10.44
6 13 46.86
6 14 95.13
7 0 95.27
7 1 21.59
7 2 56.52
7 3 33.02
7 4 39.46
7 5 77.99
7 6 81.54
7 8 14.87
7 9 29.41
7 10 27.51
7 11 11.05
7 12 73.82
7 13 89.47
7 14 48.26
8 0 81.61
8 1 31.58
8 2 49.65
8 3 37.85
8 4 28.28
8 5 63.25
8 6 67.23
8 7 14.87
8 9 38.05
8 10 15.03
8 11 10.05
8 12 60.01
8 13 75.39
8 14 47.01
9 0 101.21
9 1 8.06
9 2 48.38
9 3 10.05
9 4 45.34
9 5 96.61
9 6 102.53
9 7 29.41
9 8 38.05
9 10 40.72
9 11 39.81
9 12 96.57
9 13 97.67
9 14 31.02
10 0 67.78
10 1 36.62
10 2 36.40
10 3 36.67
10 4 13.34
10 5 55.90
10 6 61.98
10 7 27.51
10 8 15.03
10 9 40.72
10 11 25.08
10 12 56.72
10 13 62.18
10 14 38.63
11 0 90.96
11 1 32.25
11 2 59.09
11 3 42.05
11 4 38.33
11 5 69.31
11 6 72.01
11 7 11.05
11 8 10.05
11 9 39.81
11 10 25.08
11 12 63.81
11 13 84.43
11 14 54.45
12 0 62.27
12 1 91.08
12 2 80.52
12 3 93.38
12 4 59.14
12 5 17.09
12 6 10.44
12 7 73.82
12 8 60.01
12 9 96.57
12 10 56.72
12 11 63.81
12 13 53.34
12 14 92.14
13 0 8.94
13 1 96.21
13 2 57.25
13 3 89.83
13 4 52.80
13 5 36.62
13 6 46.86
13 7 89.47
13 8 75.39
13 9 97.67
13 10 62.18
13 11 84.43
13 12 53.34
13 14 76.85
14 0 78.24
14 1 35.51
14 2 20.52
14 3 21.00
14 4 33.02
14 5 86.70
14 6 95.13
14 7 48.26
14 8 47.01
14 9 31.02
14 10 38.63
14 11 54.45
14 12 92.14
14 13 76.85
;

set T := 0, 3, 7, 8, 9, 10, 13;

param t0 := 0;

end;
